customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,Churn_Probability,Churn_Prediction,churn_label,prediction_label,active_status
15634602,619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.790405740650818,1,Exited,Predicted to Churn,Active
15647311,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.46175728450995646,0,Stayed,Predicted to Stay,Active
15619304,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,0.9978013285342742,1,Exited,Predicted to Churn,Inactive
15701354,699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.11830680714049926,0,Stayed,Predicted to Stay,Inactive
15737888,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0.011571124901331036,0,Stayed,Predicted to Stay,Active
15574012,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.6912426973429242,1,Exited,Predicted to Churn,Inactive
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.02432019192435852,0,Stayed,Predicted to Stay,Active
15656148,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.9955860510221995,1,Exited,Predicted to Churn,Inactive
15792365,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0.061888635321404796,0,Stayed,Predicted to Stay,Active
15592389,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0.1737440843016318,0,Stayed,Predicted to Stay,Active
15767821,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0.02803002732091535,0,Stayed,Predicted to Stay,Inactive
15737173,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0.0216291617779033,0,Stayed,Predicted to Stay,Inactive
15632264,476,France,Female,34,10,0.0,2,1,0,26260.98,0,0.0696912403906067,0,Stayed,Predicted to Stay,Inactive
15691483,549,France,Female,25,5,0.0,2,0,0,190857.79,0,0.007723926895349758,0,Stayed,Predicted to Stay,Inactive
15600882,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0.05695131162808895,0,Stayed,Predicted to Stay,Active
15643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0.285561894815822,0,Stayed,Predicted to Stay,Active
15737452,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0.9773951004887768,1,Exited,Predicted to Churn,Inactive
15788218,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0.013730778695834707,0,Stayed,Predicted to Stay,Active
15661507,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0.5058227560532355,1,Stayed,Predicted to Churn,Inactive
15568982,726,France,Female,24,6,0.0,2,1,1,54724.03,0,0.01621287066212633,0,Stayed,Predicted to Stay,Active
15577657,732,France,Male,41,8,0.0,2,1,1,170886.17,0,0.027033259329187653,0,Stayed,Predicted to Stay,Active
15597945,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0.057084805103809845,0,Stayed,Predicted to Stay,Inactive
15699309,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,0.5135459791994269,1,Exited,Predicted to Churn,Inactive
15725737,669,France,Male,46,3,0.0,2,0,1,8487.75,0,0.022074746976123823,0,Stayed,Predicted to Stay,Active
15625047,846,France,Female,38,5,0.0,1,1,1,187616.16,0,0.2512848605828484,0,Stayed,Predicted to Stay,Active
15738191,577,France,Male,25,3,0.0,2,0,1,124508.29,0,0.003268590394014589,0,Stayed,Predicted to Stay,Active
15736816,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0.3710795777071137,0,Stayed,Predicted to Stay,Active
15700772,571,France,Male,44,9,0.0,2,0,0,38433.35,0,0.036604856556596566,0,Stayed,Predicted to Stay,Inactive
15728693,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0.4173902708514683,0,Stayed,Predicted to Stay,Active
15656300,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0.0573266136870298,0,Stayed,Predicted to Stay,Active
15589475,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,0.8009478092391016,1,Exited,Predicted to Churn,Inactive
15706552,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0.1363625837549434,0,Stayed,Predicted to Stay,Active
15750181,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,0.3874698943375723,0,Stayed,Predicted to Stay,Inactive
15659428,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0.033211316199974784,0,Stayed,Predicted to Stay,Active
15732963,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0.03235599950279181,0,Stayed,Predicted to Stay,Active
15794171,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,0.907321283239589,1,Exited,Predicted to Churn,Inactive
15788448,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,0.06345585355353739,0,Stayed,Predicted to Stay,Active
15729599,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0.03316439161508763,0,Stayed,Predicted to Stay,Active
15717426,850,France,Male,36,7,0.0,1,1,1,40812.9,0,0.22809133936268874,0,Stayed,Predicted to Stay,Active
15585768,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0.09446875762003852,0,Stayed,Predicted to Stay,Active
15619360,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0.37190847669794164,0,Stayed,Predicted to Stay,Inactive
15738148,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,0.8732796771831388,1,Exited,Predicted to Churn,Inactive
15687946,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,0.35144007517733855,0,Stayed,Predicted to Stay,Active
15755196,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,0.6935641975740967,1,Exited,Predicted to Churn,Inactive
15684171,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0.7761727538239064,1,Stayed,Predicted to Churn,Active
15754849,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0.20860093169556862,0,Stayed,Predicted to Stay,Active
15602280,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,0.7943128583405222,1,Exited,Predicted to Churn,Active
15771573,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,0.8266978231449632,1,Exited,Predicted to Churn,Active
15766205,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0.2211414084069358,0,Stayed,Predicted to Stay,Active
15771873,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0.2735429657525169,0,Stayed,Predicted to Stay,Inactive
15616550,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0.043934171757902554,0,Stayed,Predicted to Stay,Inactive
15768193,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0.2252832714401374,0,Stayed,Predicted to Stay,Inactive
15683553,788,France,Female,33,5,0.0,2,0,0,116978.19,0,0.01973133255652074,0,Stayed,Predicted to Stay,Inactive
15702298,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,0.8432680358903452,1,Exited,Predicted to Churn,Inactive
15569590,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,0.44212036302541863,0,Exited,Predicted to Stay,Inactive
15760861,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,0.19784955808224167,0,Stayed,Predicted to Stay,Active
15630053,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,0.5335301211048856,1,Stayed,Predicted to Churn,Inactive
15647091,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,0.058495985629432104,0,Stayed,Predicted to Stay,Inactive
15623944,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,0.965424469084298,1,Exited,Predicted to Churn,Inactive
15804771,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0.7176073795523851,1,Stayed,Predicted to Churn,Active
15651280,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,0.4715308526228692,0,Stayed,Predicted to Stay,Inactive
15773469,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,0.012354607956821327,0,Stayed,Predicted to Stay,Inactive
15702014,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0.05149053149326228,0,Stayed,Predicted to Stay,Inactive
15751208,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0.2183719446829899,0,Stayed,Predicted to Stay,Active
15592461,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,0.1182724166095061,0,Stayed,Predicted to Stay,Active
15789484,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,0.05677928448651047,0,Stayed,Predicted to Stay,Active
15696061,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,0.39167809008860827,0,Stayed,Predicted to Stay,Inactive
15641582,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,0.01646727010305533,0,Stayed,Predicted to Stay,Active
